Date,Market Value
9/2/1977,97.45
9/9/1977,96.37
9/16/1977,96.48
9/23/1977,95.04
9/30/1977,96.53
10/7/1977,95.97
10/14/1977,93.56
10/21/1977,92.32
10/28/1977,92.61
11/4/1977,91.58
11/11/1977,95.98
11/18/1977,95.33
11/25/1977,96.69
12/2/1977,94.67
12/9/1977,93.65
12/16/1977,93.4
12/23/1977,94.69
12/30/1977,95.1
1/6/1978,91.62
1/13/1978,89.69
1/20/1978,89.89
1/27/1978,88.58
2/3/1978,89.62
2/10/1978,90.08
2/17/1978,87.96
2/24/1978,88.49
3/3/1978,87.45
3/10/1978,88.88
3/17/1978,90.2
3/23/1978,89.36
3/31/1978,89.21
4/7/1978,90.17
4/14/1978,92.92
4/21/1978,94.34
4/28/1978,96.83
5/5/1978,96.53
5/12/1978,98.07
5/19/1978,98.12
5/26/1978,96.58
6/2/1978,98.14
6/9/1978,99.93
6/16/1978,97.42
6/23/1978,95.85
6/30/1978,95.53
7/7/1978,94.89
7/14/1978,97.58
7/21/1978,97.75
7/28/1978,100
8/4/1978,103.92
8/11/1978,103.96
8/18/1978,104.73
8/25/1978,104.9
9/1/1978,103.68
9/8/1978,106.79
9/15/1978,104.12
9/22/1978,101.84
9/29/1978,102.54
10/6/1978,103.52
10/13/1978,104.66
10/20/1978,97.95
10/27/1978,94.59
11/3/1978,96.18
11/10/1978,94.77
11/17/1978,94.42
11/24/1978,95.79
12/1/1978,96.28
12/8/1978,96.63
12/15/1978,95.33
12/22/1978,96.31
12/29/1978,96.11
1/5/1979,99.13
1/12/1979,99.93
1/19/1979,99.75
1/26/1979,101.86
2/2/1979,99.5
2/9/1979,97.87
2/16/1979,98.67
2/23/1979,97.78
3/2/1979,96.97
3/9/1979,99.54
3/16/1979,100.69
3/23/1979,101.6
3/30/1979,101.59
4/6/1979,103.18
4/12/1979,102
4/20/1979,101.23
4/27/1979,101.8
5/4/1979,100.69
5/11/1979,98.52
5/18/1979,99.93
5/25/1979,100.22
6/1/1979,99.17
6/8/1979,101.49
6/15/1979,102.09
6/22/1979,102.64
6/29/1979,102.91
7/6/1979,103.62
7/13/1979,102.32
7/20/1979,101.82
7/27/1979,103.1
8/3/1979,104.04
8/10/1979,106.4
8/17/1979,108.3
8/24/1979,108.6
8/31/1979,109.32
9/7/1979,107.66
9/14/1979,108.76
9/21/1979,110.47
9/28/1979,109.32
10/5/1979,111.27
10/12/1979,104.49
10/19/1979,101.6
10/26/1979,100.57
11/2/1979,102.51
11/9/1979,101.51
