SBA Physical Declaration Number,SBA EIDL Declaration Number,SBA Disaster Number,Damaged Property Zip Code,County Name,Verified Loss Real Estate,Verified Loss Content,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL,Year,State Name
11055,11056.0,TX-00265,78006.0,KENDALL,747912.0,0.0,0.0,0.0,0.0,2008,TEXAS
11055,11056.0,TX-00265,78009.0,MEDINA,72946.0,38225.0,26400.0,26700.0,16600.0,2008,TEXAS
11055,11056.0,TX-00265,79520.0,JONES,4235.0,0.0,4300.0,0.0,0.0,2008,TEXAS
11055,11056.0,TX-00265,77034.0,HARRIS,57525.0,0.0,0.0,0.0,0.0,2008,TEXAS
11055,11056.0,TX-00265,79536.0,TAYLOR,76474.0,10950.0,0.0,0.0,0.0,2008,TEXAS
11055,11056.0,TX-00265,78202.0,BEXAR,13147.0,0.0,0.0,0.0,0.0,2008,TEXAS
11055,11056.0,TX-00265,78211.0,BEXAR,57681.0,10550.0,57700.0,10500.0,0.0,2008,TEXAS
11076,11077.0,TX-00267,77701.0,JEFFERSON,33908.0,600.0,0.0,0.0,0.0,2008,TEXAS
11076,11077.0,TX-00267,77705.0,JEFFERSON,33779.0,0.0,33800.0,0.0,700.0,2008,TEXAS
11076,11077.0,TX-00267,77554.0,GALVESTON,55633.0,0.0,0.0,0.0,0.0,2008,TEXAS
11076,11077.0,TX-00267,77623.0,GALVESTON,0.0,1627.0,0.0,0.0,0.0,2008,TEXAS
11076,11077.0,TX-00267,77630.0,ORANGE,253848.0,42922.0,64300.0,10500.0,16100.0,2008,TEXAS
11076,11077.0,TX-00267,77642.0,JEFFERSON,816227.0,1401.0,814800.0,1300.0,10400.0,2008,TEXAS
11076,11077.0,TX-00267,77662.0,ORANGE,9879.0,0.0,0.0,0.0,0.0,2008,TEXAS
11274,11275.0,TX-00287,76837.0,CONCHO,236555.0,4420.0,148200.0,2000.0,0.0,2008,TEXAS
11304,11305.0,TX-00289,79201.0,CHILDRESS,32579.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78573.0,HIDALGO,105138.0,0.0,30000.0,0.0,800.0,2008,TEXAS
11353,11354.0,TX-00297,78550.0,CAMERON,50660.0,550.0,14000.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78520.0,CAMERON,166198.0,32456.0,41900.0,9800.0,48600.0,2008,TEXAS
11353,11354.0,TX-00297,78521.0,CAMERON,328405.0,26910.0,22800.0,0.0,258000.0,2008,TEXAS
11353,11354.0,TX-00297,78526.0,CAMERON,79951.0,8688.0,14000.0,3800.0,42200.0,2008,TEXAS
11353,11354.0,TX-00297,78535.0,CAMERON,135845.0,700.0,0.0,0.0,55700.0,2008,TEXAS
11353,11354.0,TX-00297,78535.0,CAMERON,0.0,0.0,0.0,0.0,77700.0,2008,TEXAS
11353,11354.0,TX-00297,78537.0,HIDALGO,25828.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78538.0,HIDALGO,5890.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78538.0,HIDALGO,16688.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78539.0,HIDALGO,100227.0,8474.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78541.0,HIDALGO,236117.0,54460.0,213000.0,4000.0,19100.0,2008,TEXAS
11353,11354.0,TX-00297,78542.0,HIDALGO,10833.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78550.0,CAMERON,3265302.0,598723.0,1364300.0,209000.0,449800.0,2008,TEXAS
11353,11354.0,TX-00297,78552.0,CAMERON,2017489.0,217400.0,163100.0,19300.0,45200.0,2008,TEXAS
11353,11354.0,TX-00297,78552.0,HIDALGO,0.0,8713.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78559.0,CAMERON,246893.0,63022.0,22100.0,37400.0,29400.0,2008,TEXAS
11353,11354.0,TX-00297,78559.0,CAMERON,405.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78560.0,HIDALGO,20085.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78562.0,HIDALGO,22345.0,1850.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78578.0,CAMERON,2647.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78578.0,CAMERON,496340.0,39028.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78758.0,CAMERON,47693.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78561.0,WILLACY,32408.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78566.0,CAMERON,83393.0,11000.0,29600.0,0.0,2200.0,2008,TEXAS
11353,11354.0,TX-00297,78567.0,CAMERON,4984.0,850.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78569.0,WILLACY,54450.0,2250.0,34400.0,2300.0,6500.0,2008,TEXAS
11353,11354.0,TX-00297,78501.0,HIDALGO,505154.0,146542.0,193300.0,72500.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78503.0,HIDALGO,324383.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78504.0,HIDALGO,47700.0,0.0,47700.0,0.0,5000.0,2008,TEXAS
11353,11354.0,TX-00297,78570.0,HIDALGO,135530.0,113692.0,43400.0,1100.0,2500.0,2008,TEXAS
11353,11354.0,TX-00297,78572.0,HIDALGO,153887.0,3505.0,16000.0,0.0,2300.0,2008,TEXAS
11353,11354.0,TX-00297,78573.0,HIDALGO,323878.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78538.0,HIDALGO,2352.0,0.0,2400.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78575.0,CAMERON,111091.0,10131.0,50000.0,0.0,25000.0,2008,TEXAS
11353,11354.0,TX-00297,78573.0,HIDALGO,274572.0,41487.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78577.0,HIDALGO,174373.0,13900.0,6600.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78578.0,CAMERON,1206760.0,139635.0,253000.0,65800.0,85800.0,2008,TEXAS
11353,11354.0,TX-00297,78587.0,CAMERON,0.0,20600.0,0.0,20600.0,16900.0,2008,TEXAS
11353,11354.0,TX-00297,78578.0,CAMERON,6428.0,5000.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78598.0,WILLACY,52496.0,400.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78552.0,CAMERON,28798.0,94790.0,0.0,0.0,0.0,2008,TEXAS
