Date,Market Value,Year
1/7/2005,1186.19,2005
1/14/2005,1184.52,2005
1/21/2005,1167.87,2005
1/28/2005,1171.36,2005
2/4/2005,1203.03,2005
2/11/2005,1205.3,2005
2/18/2005,1201.59,2005
2/25/2005,1211.37,2005
3/4/2005,1222.12,2005
3/11/2005,1200.08,2005
3/18/2005,1189.65,2005
3/24/2005,1171.42,2005
4/1/2005,1172.92,2005
4/8/2005,1181.2,2005
4/15/2005,1142.62,2005
4/22/2005,1152.12,2005
4/29/2005,1156.85,2005
5/6/2005,1171.35,2005
5/13/2005,1154.05,2005
5/20/2005,1189.28,2005
5/27/2005,1198.78,2005
6/3/2005,1196.02,2005
6/10/2005,1198.11,2005
6/17/2005,1216.96,2005
6/24/2005,1191.57,2005
7/1/2005,1194.44,2005
7/8/2005,1211.86,2005
7/15/2005,1227.92,2005
7/22/2005,1233.68,2005
7/29/2005,1234.18,2005
8/5/2005,1226.42,2005
8/12/2005,1230.39,2005
8/19/2005,1219.71,2005
8/26/2005,1205.1,2005
9/2/2005,1218.02,2005
9/9/2005,1241.48,2005
9/16/2005,1237.91,2005
9/23/2005,1215.29,2005
9/30/2005,1228.81,2005
10/7/2005,1195.9,2005
10/14/2005,1186.57,2005
10/21/2005,1179.59,2005
10/28/2005,1198.41,2005
11/4/2005,1220.14,2005
11/11/2005,1234.72,2005
11/18/2005,1248.27,2005
11/25/2005,1268.25,2005
12/2/2005,1265.08,2005
12/9/2005,1259.36,2005
12/16/2005,1267.32,2005
12/23/2005,1268.66,2005
12/30/2005,1248.29,2005
1/6/2006,1285.45,2006
1/13/2006,1287.61,2006
1/20/2006,1261.49,2006
1/27/2006,1283.72,2006
2/3/2006,1264.03,2006
2/10/2006,1266.99,2006
2/17/2006,1287.24,2006
2/24/2006,1289.43,2006
3/3/2006,1287.23,2006
3/10/2006,1281.58,2006
3/17/2006,1307.25,2006
3/24/2006,1302.95,2006
3/31/2006,1294.83,2006
4/7/2006,1295.5,2006
4/13/2006,1289.12,2006
4/21/2006,1311.28,2006
4/28/2006,1310.61,2006
5/5/2006,1325.76,2006
5/12/2006,1291.24,2006
5/19/2006,1267.03,2006
5/26/2006,1280.16,2006
6/2/2006,1288.22,2006
6/9/2006,1252.3,2006
6/16/2006,1251.54,2006
6/23/2006,1244.5,2006
6/30/2006,1270.2,2006
7/7/2006,1265.48,2006
7/14/2006,1236.2,2006
7/21/2006,1240.29,2006
7/28/2006,1278.55,2006
8/4/2006,1279.36,2006
8/11/2006,1266.74,2006
8/18/2006,1302.3,2006
8/25/2006,1295.09,2006
9/1/2006,1311.01,2006
9/8/2006,1298.92,2006
9/15/2006,1319.87,2006
9/22/2006,1314.78,2006
9/29/2006,1335.85,2006
10/6/2006,1349.58,2006
10/13/2006,1365.62,2006
10/20/2006,1368.6,2006
10/27/2006,1377.34,2006
11/3/2006,1364.3,2006
11/10/2006,1380.9,2006
11/17/2006,1401.2,2006
11/24/2006,1400.95,2006
12/1/2006,1396.71,2006
12/8/2006,1409.84,2006
12/15/2006,1427.09,2006
12/22/2006,1410.76,2006
12/29/2006,1418.3,2006
1/5/2007,1409.71,2007
1/12/2007,1430.73,2007
1/19/2007,1430.5,2007
1/26/2007,1422.18,2007
2/2/2007,1448.39,2007
2/9/2007,1438.06,2007
2/16/2007,1455.54,2007
2/23/2007,1451.19,2007
3/2/2007,1387.17,2007
3/9/2007,1402.85,2007
3/16/2007,1386.95,2007
3/23/2007,1436.11,2007
3/30/2007,1420.86,2007
4/5/2007,1443.76,2007
4/13/2007,1452.85,2007
4/20/2007,1484.35,2007
4/27/2007,1494.07,2007
5/4/2007,1505.62,2007
5/11/2007,1505.85,2007
5/18/2007,1522.75,2007
5/25/2007,1515.73,2007
6/1/2007,1536.34,2007
6/8/2007,1507.67,2007
6/15/2007,1532.91,2007
6/22/2007,1502.56,2007
6/29/2007,1503.35,2007
7/6/2007,1525.88,2007
7/13/2007,1552.5,2007
7/20/2007,1534.1,2007
7/27/2007,1458.95,2007
8/3/2007,1433.06,2007
8/10/2007,1453.64,2007
8/17/2007,1445.94,2007
8/24/2007,1479.37,2007
8/31/2007,1473.99,2007
9/7/2007,1453.55,2007
9/14/2007,1484.25,2007
9/21/2007,1525.75,2007
9/28/2007,1526.75,2007
10/5/2007,1557.59,2007
10/12/2007,1561.8,2007
10/19/2007,1500.63,2007
10/26/2007,1535.28,2007
11/2/2007,1509.65,2007
11/9/2007,1453.7,2007
11/16/2007,1458.74,2007
11/23/2007,1440.7,2007
11/30/2007,1481.14,2007
12/7/2007,1504.66,2007
12/14/2007,1467.95,2007
12/21/2007,1484.46,2007
12/28/2007,1478.49,2007
1/4/2008,1411.63,2008
1/11/2008,1401.02,2008
1/18/2008,1325.19,2008
1/25/2008,1330.61,2008
2/1/2008,1395.42,2008
2/8/2008,1331.29,2008
2/15/2008,1349.99,2008
2/22/2008,1353.11,2008
2/29/2008,1330.63,2008
3/7/2008,1293.37,2008
3/14/2008,1288.14,2008
3/20/2008,1329.51,2008
3/28/2008,1315.22,2008
4/4/2008,1370.4,2008
4/11/2008,1332.83,2008
4/18/2008,1390.33,2008
4/25/2008,1397.84,2008
5/2/2008,1413.9,2008
5/9/2008,1388.28,2008
5/16/2008,1425.35,2008
5/23/2008,1375.93,2008
5/30/2008,1400.38,2008
6/6/2008,1360.68,2008
6/13/2008,1357.5,2008
6/20/2008,1317.93,2008
6/27/2008,1278.38,2008
7/3/2008,1262.9,2008
7/11/2008,1239.49,2008
7/18/2008,1260.68,2008
7/25/2008,1257.76,2008
8/1/2008,1260.31,2008
8/8/2008,1296.31,2008
8/15/2008,1298.19,2008
8/22/2008,1292.19,2008
8/29/2008,1282.82,2008
9/5/2008,1242.31,2008
9/12/2008,1251.69,2008
9/19/2008,1255.07,2008
9/26/2008,1213.27,2008
10/3/2008,1099.23,2008
10/10/2008,899.22,2008
10/17/2008,940.55,2008
10/24/2008,876.77,2008
10/31/2008,968.75,2008
11/7/2008,930.99,2008
11/14/2008,873.29,2008
11/21/2008,800.03,2008
11/28/2008,896.24,2008
12/5/2008,876.07,2008
12/12/2008,879.73,2008
12/19/2008,887.88,2008
12/26/2008,872.8,2008
1/2/2009,931.8,2009
1/9/2009,890.35,2009
1/16/2009,850.12,2009
1/23/2009,831.95,2009
1/30/2009,825.88,2009
2/6/2009,868.6,2009
2/13/2009,826.84,2009
2/20/2009,770.05,2009
2/27/2009,735.09,2009
3/6/2009,683.38,2009
3/13/2009,756.55,2009
3/20/2009,768.54,2009
3/27/2009,815.94,2009
4/3/2009,842.5,2009
4/9/2009,856.56,2009
4/17/2009,869.6,2009
4/24/2009,866.23,2009
5/1/2009,877.52,2009
5/8/2009,929.23,2009
5/15/2009,882.88,2009
5/22/2009,887,2009
5/29/2009,919.14,2009
6/5/2009,940.09,2009
6/12/2009,946.21,2009
6/19/2009,921.23,2009
6/26/2009,918.9,2009
7/10/2009,879.13,2009
7/17/2009,940.38,2009
7/24/2009,979.26,2009
7/31/2009,987.48,2009
8/7/2009,1010.48,2009
8/14/2009,1004.09,2009
8/21/2009,1026.13,2009
8/28/2009,1028.93,2009
9/4/2009,1016.4,2009
9/11/2009,1042.73,2009
9/18/2009,1068.3,2009
9/25/2009,1044.38,2009
